"SL","Title","Description Summary","Price","Base Price","Discount Price"," Quantity"," Size"," Condition"," Status"," Is Featured"," Cat ID"," SubCat ID"," ChildCat ID"," Barnd ID"," SKU"," Weight"," Lenght"," Height"," Width"," Is Physical"," Warehouse"," Template"," Backorder"," Discount Option"," SPH"," DIA"," CYL"," AXIS"," RAD"," COLOR"," ADD"," UPC"," VTO"," VTO Url"," Lens Option"," Gender Man"," Gender Woman"," B2B Option"," Ek Price"," Discount"," Photo"
"13","ALE-9800 PATTERNLESS LENS EDGER(2D, WITHOUT GROOVER)","ALE-9800 PATTERNLESS LENS EDGER(2D, WITHOUT GROOVER)","6320","6,320","","10","m","default","active","0","147","167","","6","ALE-9800","","","","","yes","34","Optometrie","enable","3","","","","","","","","123468","0","","0","0","0","1","3160","0","pr-ale-9800310.jpg"
"14","ALE-9900AK PATTERNLESS LENS EDGER (3D, WITH GROOVING FUNCTION)","ALE-9900AK PATTERNLESS LENS EDGER (3D, WITH GROOVING FUNCTION)","8840","8,840","","10","m","default","active","0","147","167","","6","ALE-9900AK","","","","","yes","34","Optometrie","enable","3","","","","","","","","123469","0","","0","0","0","1","4420","0","pr-ale-9900311.jpg"
"15","AP-800 AUTO PHOROPTER(WITH CP-600 AUTO CHART PROJECTOR)","AP-800 AUTO PHOROPTER(WITH CP-600 AUTO CHART PROJECTOR)","5420","5,420","","10","m","default","active","0","147","167","","6","AP-800","","","","","yes","34","Optometrie","enable","3","","","","","","","","123470","0","","0","0","0","1","2710","0","pr-ap-800317.jpg"
"16","AP-7600 AUTO PHOROPTER(BULETOOTH)","AP-7600 AUTO PHOROPTER(BULETOOTH)","6640","6,640","","10","m","default","active","0","147","167","","6","AP-7600","","","","","yes","34","Optometrie","enable","3","","","","","","","","123471","0","","0","0","0","1","3320","0","pr-ap7600319.jpg"
"17","ARK-1 AUTO REFRACTO-KERATOMETER","ARK-1 AUTO REFRACTO-KERATOMETER","5700","5,700","","10","m","default","active","0","147","167","","6","ARK-1","","","","","yes","34","Optometrie","enable","3","","","","","","","","123472","0","","0","0","0","1","2850","0","pr-ark-1whiteframescreen322.jpg"
"18","ARK-6500 AUTO REFRACTO-KERATOMETER","ARK-6500 AUTO REFRACTO-KERATOMETER","3400","3,400","","10","m","default","active","0","147","167","","6","ARK-6500","","","","","yes","34","Optometrie","enable","3","","","","","","","","123473","0","","0","0","0","1","1700","0",""
"19","ATHENA VISION SCREENER(VST)","ATHENA VISION SCREENER(VST)","7600","7,600","","10","m","default","active","0","147","167","","6","ATHENA","","","","","yes","34","Optometrie","enable","3","","","","","","","","123474","0","","0","0","0","1","3800","0",""
"20","BIO-1100(BIO-100) PROJECTION PERIMETER(SAME AS ZEISS 8 SERIES)","BIO-1100(BIO-100) PROJECTION PERIMETER(SAME AS ZEISS 8 SERIES)","14200","14,200","","10","m","default","active","0","147","167","","6","BIO-1100(BIO-100)","","","","","yes","34","Optometrie","enable","3","","","","","","","","123475","0","","0","0","0","1","7100","0",""
"21","CT-B1001 - B1005 AS NOSE PAD","CT-B1001 - B1005 AS NOSE PAD 200Stk.","12.2","12","","10","m","default","active","0","188","91","","6","CT-B1001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123457","0","","0","0","0","1","6.1","0",""
"22","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)200Stk.","31.2","31","","10","m","default","active","0","188","91","","6","CT-D3001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123458","0","","0","0","0","1","15.6","0",""
"23","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (SOFT CORE)","200 Stk.","12.4","12","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123459","0","","0","0","0","1","6.2","0",""
"24","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (HARD CORE)","200 Stk.","30","30","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123460","0","","0","0","0","1","15","0",""
"25","CTPH-67/71/72/115 SILICONE NOSE PAD FOR RAYBAN - METAL INSIDE","200 Stk.","28.4","28","","10","m","default","active","0","188","91","","6","CTPH-67/71/72/115","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123461","0","","0","0","0","1","14.2","0",""
"26","CTG-Q6/Q7 SILICONE STICK-ON FOR TEMPLE TIP WITH LOGO","200 Stk.","80","80","","10","m","default","active","0","188","91","","6","CTG-Q6/Q7","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123462","0","","0","0","0","1","40","0",""
"27","CTG-1T/2T/3T SILICONE STICK-ON NOSE PAD WITH LOGO","200 Stk.","116","116","","10","m","default","active","0","188","91","","6","CTG-1T/2T/3T","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123463","0","","0","0","0","1","58","0",""
"28","CTG-213/255/256/261 SILICONE NOSE PAD","200 Stk.","42","42","","10","m","default","active","0","188","91","","6","CTG-213/255/256/261","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123464","0","","0","0","0","1","21","0",""
"29","CTG-225/226/227/229/301/302 SILICONE NOSE PAD","200 Stk.","64","64","","10","m","default","active","0","188","91","","6","CTG-225/226/227/229/301/302","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123465","0","","0","0","0","1","32","0",""
"30","SILICONE NOSE PADS - WITH THERMPRINTED LOGO(TWO COLOR)","200 Stk.","28","28","","10","m","default","active","0","188","91","","6","SILICONE","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123466","0","","0","0","0","1","14","0",""
"31","CTPH   PVC NOSE PAD","200 Stk.","4.6","5","","10","m","default","active","0","188","91","","6","CTPH","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123467","0","","0","0","0","1","2.3","0",""
"32","CTPU-1/2/3 PU NOSE PAD","200 Stk.","7.2","7","","10","m","default","active","0","188","91","","6","CTPU-1/2/3","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123468","0","","0","0","0","1","3.6","0",""
"33","CTT-119/122/133/134/135/142/149/188/194 PVC NOSE PAD","200 Stk.","5","5","","10","m","default","active","0","188","91","","6","CTT-119/122/133/134/135/142/149/188/194","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123469","0","","0","0","0","1","2.5","0",""
"34","CTT-127/155/156/161 PC NOSE PAD","200 Stk.","5.8","6","","10","m","default","active","0","188","91","","6","CTT-127/155/156/161","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123470","0","","0","0","0","1","2.9","0",""
"35","CTR-401 PVC NOSE PAD","200 Stk.","5","5","","10","m","default","active","0","188","91","","6","CTR-401","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123471","0","","0","0","0","1","2.5","0",""
"36","CTY-303/307 PC NOSE PAD","200 Stk.","5.8","6","","10","m","default","active","0","188","91","","6","CTY-303/307","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123472","0","","0","0","0","1","2.9","0",""
"37","CT-WH1 WH2 SILICONE TEMPLE LOCKS","200 Stk.","38","38","","10","m","default","active","0","188","91","","6","CT-WH1","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123473","0","","0","0","0","1","19","0",""
"38","CT-WH4 /5/8 SILICONE TEMPLE LOCKS","200 Stk.","33.4","33","","10","m","default","active","0","188","91","","6","CT-WH4","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123474","0","","0","0","0","1","16.7","0",""
"39","CT-B1001 - B1005 AS NOSE PAD","CT-B1001 - B1005 AS NOSE PAD 200Stk.","12.2","12","","10","m","default","active","0","188","91","","6","CT-B1001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123540","0","","0","0","0","1","6.1","0",""
"40","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)200Stk.","31.2","31","","10","m","default","active","0","188","91","","6","CT-D3001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123541","0","","0","0","0","1","15.6","0",""
"41","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (SOFT CORE)","200 Stk.","12.4","12","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123542","0","","0","0","0","1","6.2","0",""
"42","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (HARD CORE)","200 Stk.","30","30","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123543","0","","0","0","0","1","15","0",""
"43","CTPH-67/71/72/115 SILICONE NOSE PAD FOR RAYBAN - METAL INSIDE","200 Stk.","28.4","28","","10","m","default","active","0","188","91","","6","CTPH-67/71/72/115","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123544","0","","0","0","0","1","14.2","0",""
"44","CTG-Q6/Q7 SILICONE STICK-ON FOR TEMPLE TIP WITH LOGO","200 Stk.","80","80","","10","m","default","active","0","188","91","","6","CTG-Q6/Q7","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123545","0","","0","0","0","1","40","0",""
"45","CTG-1T/2T/3T SILICONE STICK-ON NOSE PAD WITH LOGO","200 Stk.","116","116","","10","m","default","active","0","188","91","","6","CTG-1T/2T/3T","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123546","0","","0","0","0","1","58","0",""
"46","CTG-213/255/256/261 SILICONE NOSE PAD","200 Stk.","42","42","","10","m","default","active","0","188","91","","6","CTG-213/255/256/261","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123547","0","","0","0","0","1","21","0",""
"47","CTG-225/226/227/229/301/302 SILICONE NOSE PAD","200 Stk.","64","64","","10","m","default","active","0","188","91","","6","CTG-225/226/227/229/301/302","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123548","0","","0","0","0","1","32","0",""
"48","SILICONE NOSE PADS - WITH THERMPRINTED LOGO(TWO COLOR)","200 Stk.","28","28","","10","m","default","active","0","188","91","","6","SILICONE","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123549","0","","0","0","0","1","14","0",""
"49","CTPH   PVC NOSE PAD","200 Stk.","4.6","5","","10","m","default","active","0","188","91","","6","CTPH","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123550","0","","0","0","0","1","2.3","0",""
"50","CTPU-1/2/3 PU NOSE PAD","200 Stk.","7.2","7","","10","m","default","active","0","188","91","","6","CTPU-1/2/3","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123551","0","","0","0","0","1","3.6","0",""
"51","CTT-119/122/133/134/135/142/149/188/194 PVC NOSE PAD","200 Stk.","5","5","","10","m","default","active","0","188","91","","6","CTT-119/122/133/134/135/142/149/188/194","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123552","0","","0","0","0","1","2.5","0",""
"52","CTT-127/155/156/161 PC NOSE PAD","200 Stk.","5.8","6","","10","m","default","active","0","188","91","","6","CTT-127/155/156/161","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123553","0","","0","0","0","1","2.9","0",""
"53","CTR-401 PVC NOSE PAD","200 Stk.","5","5","","10","m","default","active","0","188","91","","6","CTR-401","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123554","0","","0","0","0","1","2.5","0",""
"54","CTY-303/307 PC NOSE PAD","200 Stk.","5.8","6","","10","m","default","active","0","188","91","","6","CTY-303/307","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123555","0","","0","0","0","1","2.9","0",""
"55","CT-WH1 WH2 SILICONE TEMPLE LOCKS","200 Stk.","38","38","","10","m","default","active","0","188","91","","6","CT-WH1","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123556","0","","0","0","0","1","19","0",""
"56","CT-WH4 /5/8 SILICONE TEMPLE LOCKS","200 Stk.","33.4","33","","10","m","default","active","0","188","91","","6","CT-WH4","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123557","0","","0","0","0","1","16.7","0",""
"57","CT8902/03","MOULD","0.14","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124586","0","","0","0","0","1","0.07","0","pr-ct8902741.jpg"
"58","B-859/ B-876/ B-877 CONTACTLENS MATE(MOQ: 1000PCS) ","","0.16","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123964","0","","0","0","0","1","0.08","0",""
"59","CT8711","ANTISKID TUBE","0.16","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124581","0","","0","0","0","1","0.08","0",""
"60","LC007 LENS CLEANER-PET 50ML                                       ","E170 MICRO FIBER(POLYESTER  100%, 170G)     15*15CM","0.19","0","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123670","0","","0","0","0","1","0.09","0","pr-2013111165638.jpg"
"61","CT81002","PRICE TAG(TRANSPARENT)","0.19","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124587","0","","0","0","0","1","0.1","0",""
"62","CT81001","PRICE TAG(WHITE)","0.22","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124148","0","","0","0","0","1","0.11","0",""
"63","CD001 ORDINARY CORDS","","0.24","0","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123647","0","","0","0","0","1","0.12","0",""
"64","LC003 LENS CLEANER-PET 20ML                                       ","B220 MICRO FIBER(POLYESTER  80%,  POLYAMIDE 20%， 220G)   15*15CM (Double Suede Cloth 双面绒）","0.3","0","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123668","0","","0","0","0","1","0.15","0","pr-2013111165638.jpg"
"65","LC005 LENS CLEANER-PET 30ML                                       ","B220 SUEDE NAP MICRO FIBER-220G  15*15CM","0.32","0","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123669","0","","0","0","0","1","0.16","0","pr-2013111165638.jpg"
"66","CD003/ 005 ORDINARY CORDS","","0.32","0","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123648","0","","0","0","0","1","0.16","0",""
"67","A-2203/ B-875G CONTACTLENS MATE(MOQ: 500PCS) ","","0.34","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123961","0","","0","0","0","1","0.17","0",""
"68","A-2301 CONTACTLENS MATE(MOQ: 500PCS) ","","0.34","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123963","0","","0","0","0","1","0.17","0",""
"69","CT4603/04","PD RULLER(MIN:10,000PCS)","0.36","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124037","0","","0","0","0","1","0.18","0",""
"70","A-2207 CONTACTLENS MATE(MOQ: 500PCS) ","","0.38","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124407","0","","0","0","0","1","0.19","0",""
"71","CT4605 ","PD RULLER(MIN:10,000PCS)","0.4","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124479","0","","0","0","0","1","0.2","0",""
"72","CT21203/211 MULTI SCREWDRIVER (MIN:10000PCS)","","0.46","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124416","0","","0","0","0","1","0.23","0","pr-ct21203-2743.jpg"
"73","CT21204/08/12 MULTI SCREWDRIVER (MIN:10000PCS)  ","","0.46","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123974","0","","0","0","0","1","0.23","0","pr-ct21204-2744.jpg"
"74","CT21206/07/09/10/13 MULTI SCREWDRIVER (MIN:10000PCS)  ","","0.46","0","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124417","0","","0","0","0","1","0.23","0","pr-ct21206745.jpg"
"75","A-2007D/ A-2201K/ A-2201/ A-2207K CONTACTLENS MATE(MOQ: 500PCS) ","","0.5","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124404","0","","0","0","0","1","0.25","0",""
"76","A-1505B CONTACTLENS MATE(MOQ: 300PCS) ","","0.62","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124406","0","","0","0","0","1","0.31","0",""
"77","CD002 ORDINARY CORDS","","0.64","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123788","0","","0","0","0","1","0.32","0",""
"78","CE002 ELASTIC CORDS","","0.64","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123794","0","","0","0","0","1","0.32","0",""
"79","LC013 LENS CLEANER-PE 50ML","LC013 LENS CLEANER-PE 50ML                                       (MOQ: 1800PCS, ONE COLOR LOGO INCLUDED)","0.68","1","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123678","0","","0","0","0","1","0.34","0",""
"80","CD004 ORDINARY CORDS","","0.72","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123789","0","","0","0","0","1","0.36","0",""
"81","CE001 ELASTIC CORDS","","0.72","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123653","0","","0","0","0","1","0.36","0",""
"82","CK SERIES KID CORDS","","0.72","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123666","0","","0","0","0","1","0.36","0",""
"83","CL001 LEATHER CORDS","","0.72","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123656","0","","0","0","0","1","0.36","0",""
"84","CY324/ 325/ 326 KID CORDS","","0.72","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123805","0","","0","0","0","1","0.36","0",""
"85","A-2001/ A-2802/ A-1702/ A-1706B/ A-2203/ A-1705 CONTACTLENS MATE(MOQ: 500PCS) ","","0.74","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124405","0","","0","0","0","1","0.37","0",""
"86","CL007 LEATHER CORDS","","0.8","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123658","0","","0","0","0","1","0.4","0",""
"87","CT4614 PD RULER(MOQ: 3,000PCS) 203*25*1.0MM","","0.8","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124481","0","","0","0","0","1","0.4","0","pr-ct4614561.jpg"
"88","CT4615 PD RULER(MOQ: 3,000PCS) 173*25*1.0MM","","0.8","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124040","0","","0","0","0","1","0.4","0","pr-ct4615562.jpg"
"89","CT4633 PD RULER (MOQ: 3,000PCS)","","0.82","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124486","0","","0","0","0","1","0.41","0",""
"90","CD012/ 013 ORDINARY CORDS","","0.84","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123791","0","","0","0","0","1","0.42","0",""
"91","CE005/ 008/ 009 ELASTIC","","0.84","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123655","0","","0","0","0","1","0.42","0",""
"92","CL004/ 006 LEATHER CORDS","","0.84","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123797","0","","0","0","0","1","0.42","0",""
"93","CS001 SPORTS CORDS","","0.84","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123660","0","","0","0","0","1","0.42","0",""
"94","CT4616 OCCLUDER (MOQ: 3,000PCS) 175*40*1.0MM","","0.9","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124482","0","","0","0","0","1","0.45","0","pr-ct4616-1563.jpg"
"95","CT4618 PD RULER (MOQ: 3,000PCS) 180*20*1.0MM","","0.9","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124483","0","","0","0","0","1","0.45","0","pr-ct4618566.jpg"
"96","A-1701-1/ A-1706-1/ A-2805/ A-2801-1/ A-2803/ CONTACTLENS MATE(MOQ: 300PCS) ","","0.92","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123960","0","","0","0","0","1","0.46","0",""
"97","CD009/ 010/ 011 ORDINARY CORDS","","0.92","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123650","0","","0","0","0","1","0.46","0",""
"98","CD016 ORDINARY CORDS","","0.92","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123652","0","","0","0","0","1","0.46","0",""
"99","CE004/ 006/ 007 ELASTIC CORDS","","0.92","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123795","0","","0","0","0","1","0.46","0",""
"100","CL003/ 005 LEATHER CORDS","","0.92","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123657","0","","0","0","0","1","0.46","0",""
"101","CL013/ 014 LEATHER CORDS","","0.92","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123659","0","","0","0","0","1","0.46","0",""
"102","CS007 SPORTS CORDS","","0.92","1","","10","","default","active","0","188","91","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123662","0","","0","0","0","1","0.46","0",""
"103","LC015 LENS CLEANER-PE 50ML","LC015 LENS CLEANER-PE 50ML                                       (MOQ: 1800PCS, ONE COLOR LOGO INCLUDED)","0.92","1","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123679","0","","0","0","0","1","0.46","0",""
"104","A-2001 CONTACTLENS MATE(MOQ: 500PCS) ","","0.94","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","123962","0","","0","0","0","1","0.47","0",""
"105","LC013 LENS CLEANER-PE 50ML                                       ","B220 MICROFIBER POUCH  9*18CM 220G (Double Suede Cloth 双面绒）","0.94","1","","10","","default","active","0","188","90","","6","","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123672","0","","0","0","0","1","0.47","0",""
"106","CT31306-1/-3","CASING (MIN:500PCS)","0.96","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124427","0","","0","0","0","1","0.48","0","pr-ct31306763.jpg"
"107","CT4617 PD RULER (MOQ: 3,000PCS) 173*36*1.0MM","","0.96","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124041","0","","0","0","0","1","0.48","0","pr-ct4617565.jpg"
"108","CT4630 PD RULER (MOQ: 3,000PCS)  ","","0.96","1","","10","","default","active","0","86","","","6","","","","","","yes","34","Handelswaren","enable","3","","","","","","","","124043","0","","0","0","0","1","0.48","0",""
