id;title;description/summary;price;base_price;discounted_price;QUANTITY;size;condition;status;is_featured;cat_id;subcat_id;childcat_id;brand_id;SKU;weight;lenght;height;widht;is_physical;warehouse;template;backorder;discount_option;SPH;DIA;CYL;AXIS;RAD;color;ADD;UPC;VTO;VTO_url;lens_option;gender_man;gender_woman;b2b_option;ek_price;discount;photo
;13-161247 RIMLOCK SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;13-161247;;;;;yes;34;;enable;3;;;;;;;;123600;0;;0;0;0;1;;0;
;13-161247-C RIMLOCK SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;13-161247-C;;;;;yes;34;;enable;3;;;;;;;;123601;0;;0;0;0;1;;0;
;23-201435-B RIMLOCK SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;23-201435-B;;;;;yes;34;;enable;3;;;;;;;;123602;0;;0;0;0;1;;0;
;20-181439 RIMLOCK SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;20-181439;;;;;yes;34;;enable;3;;;;;;;;123603;0;;0;0;0;1;;0;
;20-181439-C RIMLOCK SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;20-181439-C;;;;;yes;34;;enable;3;;;;;;;;123604;0;;0;0;0;1;;0;
;13-181441-B RIMLOCK SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;13-181441-B;;;;;yes;34;;enable;3;;;;;;;;123605;0;;0;0;0;1;;0;
;723-2512106 FRAMELESS SCREWS;10000Stk.;758;758;;10;m;default;1;0;188;91;NULL;6;723-2512106;;;;;yes;34;;enable;3;;;;;;;;123606;0;;0;0;0;1;;0;
;10-1812120  FRAMELESS SCREWS;10000Stk.;758;758;;10;m;default;1;0;188;91;NULL;6;10-1812120;;;;;yes;34;;enable;3;;;;;;;;123607;0;;0;0;0;1;;0;
;520-2512126 FRAMELESS SCREWS;10000Stk.;758;758;;10;m;default;1;0;188;91;NULL;6;520-2512126;;;;;yes;34;;enable;3;;;;;;;;123608;0;;0;0;0;1;;0;
;23-251480-B   FRAMELESS SCREWS;10000Stk.;146;146;;10;m;default;1;0;188;91;NULL;6;23-251480-B;;;;;yes;34;;enable;3;;;;;;;;123609;0;;0;0;0;1;;0;
;220-2814106  FRAMELESS SCREWS;10000Stk.;692;692;;10;m;default;1;0;188;91;NULL;6;220-2814106;;;;;yes;34;;enable;3;;;;;;;;123610;0;;0;0;0;1;;0;
;13-2514120  FRAMELESS SCREWS;10000Stk.;500;500;;10;m;default;1;0;188;91;NULL;6;13-2514120;;;;;yes;34;;enable;3;;;;;;;;123611;0;;0;0;0;1;;0;
;520-2514126 FRAMELESS SCREWS;10000Stk.;500;500;;10;m;default;1;0;188;91;NULL;6;520-2514126;;;;;yes;34;;enable;3;;;;;;;;123612;0;;0;0;0;1;;0;
;13-181443F LOCK SCREWS WITH PLASTIC RING;10000Stk.;2140;2140;;10;m;default;1;0;188;91;NULL;6;13-181443F;;;;;yes;34;;enable;3;;;;;;;;123613;0;;0;0;0;1;;0;
;13-181460F LOCK SCREWS WITH PLASTIC RING;10000Stk.;2140;2140;;10;m;default;1;0;188;91;NULL;6;13-181460F;;;;;yes;34;;enable;3;;;;;;;;123614;0;;0;0;0;1;;0;
;10-141041F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;388;388;;10;m;default;1;0;188;91;NULL;6;10-141041F;;;;;yes;34;;enable;3;;;;;;;;123615;0;;0;0;0;1;;0;
;13-201264F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;456;456;;10;m;default;1;0;188;91;NULL;6;13-201264F;;;;;yes;34;;enable;3;;;;;;;;123616;0;;0;0;0;1;;0;
;10-191438F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;388;388;;10;m;default;1;0;188;91;NULL;6;10-191438F;;;;;yes;34;;enable;3;;;;;;;;123617;0;;0;0;0;1;;0;
;10-201471BF LOCK SCREWS WITH PLASTIC COATING;10000Stk.;568;568;;10;m;default;1;0;188;91;NULL;6;10-201471BF;;;;;yes;34;;enable;3;;;;;;;;123618;0;;0;0;0;1;;0;
;13-201464F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;456;456;;10;m;default;1;0;188;91;NULL;6;13-201464F;;;;;yes;34;;enable;3;;;;;;;;123619;0;;0;0;0;1;;0;
;10-2514114F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;652;652;;10;m;default;1;0;188;91;NULL;6;10-2514114F;;;;;yes;34;;enable;3;;;;;;;;123620;0;;0;0;0;1;;0;
;NUTS - GOLD & GUNMETAL COLOR(ADDITIONAL COST);10000Stk.;140;140;;10;m;default;1;0;188;91;NULL;6;NUTS;;;;;yes;34;;enable;3;;;;;;;;123621;0;;0;0;0;1;;0;
;SCREWS(LENGTH: ?5.0MM)- GOLD & GUNMETAL COLOR(ADDITIONAL COST);10000Stk.;140;140;;10;m;default;1;0;188;91;NULL;6;SCREWS;;;;;yes;34;;enable;3;;;;;;;;123622;0;;0;0;0;1;;0;
;SCREWS(LENGTH: 8.1~9.0MM)- GOLD & GUNMETAL COLOR(ADDITIONAL COST);10000Stk.;200;200;;10;m;default;1;0;188;91;NULL;6;SCREWS;;;;;yes;34;;enable;3;;;;;;;;123623;0;;0;0;0;1;;0;
